ID,Name,Description,Extended_Description,Related_Weakness,Language,Technology,Likelihood_Of_Exploit,Consequence,CVE_Example
CWE-1044,Architecture with Number of Horizontal Layers Outside of Expected Range,The product's architecture contains too many - or too few - horizontal layers.,"While the interpretation of ""expected range"" may vary for each product or developer, CISQ recommends a default minimum of 4 layers and maximum of 8 layers.",ChildOf:710,Not Language-Specific,,,Other,
CWE-1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",,ChildOf:1076,Not Language-Specific,,,Other,
CWE-1046,Creation of Immutable Text Using String Concatenation,The product creates an immutable text string using string concatenation operations.,"When building a string via a looping feature (e.g., a FOR or WHILE loop), the use of += to append to the existing string will result in the creation of a new object with each iteration, which can be inefficient in comparison with use of text buffer data elements.",ChildOf:1176,Not Language-Specific,,,Other,
CWE-1047,Modules with Circular Dependencies,"The product contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.","As an example, with Java, this weakness might indicate cycles between packages.",ChildOf:1120,Not Language-Specific,,,Other,
CWE-1048,Invokable Control Element with Large Number of Outward Calls,"The code contains callable control elements that contain an excessively large number of references to other application objects external to the context of the callable, i.e. a Fan-Out value that is excessively large.","While the interpretation of ""excessively large Fan-Out value"" may vary for each product or developer, CISQ recommends a default of 5 referenced objects.",ChildOf:710,Not Language-Specific,,,Other,
CWE-1049,Excessive Data Query Operations in a Large Data Table,The product performs a data query with a large number of joins and sub-queries on a large data table.,"While the interpretation of ""large data table"" and ""large number of joins or sub-queries"" may vary for each product or developer, CISQ recommends a default of 1 million rows for a ""large"" data table, a default minimum of 5 joins, and a default minimum of 3 sub-queries.",ChildOf:1176,Not Language-Specific,,,Other,
CWE-105,Struts: Form Field Without Validator,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.","Omitting validation for even a single input field may give attackers the leeway they need to compromise the product. Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",ChildOf:1173;ChildOf:20,Java,,,Integrity,
CWE-1050,Excessive Platform Resource Consumption within a Loop,"The product has a loop body or loop condition that contains a control element that directly or indirectly consumes platform resources, e.g. messaging, sessions, locks, or file descriptors.",,ChildOf:405,Not Language-Specific,,,Availability,
CWE-1051,Initialization with Hard-Coded Network Resource Configuration Data,The product initializes data using hard-coded values that act as network resource identifiers.,,ChildOf:1419,Not Language-Specific,,,Other,
CWE-1052,Excessive Use of Hard-Coded Literals in Initialization,The product initializes a data element using a hard-coded literal that is not a simple integer or static constant element.,,ChildOf:1419,Not Language-Specific,,,Other,
CWE-1053,Missing Documentation for Design,The product does not have documentation that represents how it is designed.,,ChildOf:1059,Not Language-Specific,,,Other,
CWE-1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,"The code at one architectural layer invokes code that resides at a deeper layer than the adjacent layer, i.e., the invocation skips at least one layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.",,ChildOf:1061,Not Language-Specific,,,Other,
CWE-1055,Multiple Inheritance from Concrete Classes,The product contains a class with inheritance from more than one concrete class.,,ChildOf:1093,Not Language-Specific,,,Other,
CWE-1056,Invokable Control Element with Variadic Parameters,A named-callable or method control element has a signature that supports a variable (variadic) number of parameters or arguments.,,ChildOf:1120,Not Language-Specific,,,Other,
CWE-1057,Data Access Operations Outside of Expected Data Manager Component,"The product uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.",,ChildOf:1061,Not Language-Specific,,,Availability,
CWE-1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.,,ChildOf:662;ChildOf:662;ChildOf:662,Not Language-Specific,,,Other,
CWE-1059,Insufficient Technical Documentation,"The product does not contain sufficient technical or engineering documentation (whether on paper or in electronic form) that contains descriptions of all the relevant software/hardware elements of the product, such as its usage, structure, architectural components, interfaces, design, implementation, configuration, operation, etc.","When technical documentation is limited or lacking, products are more difficult to maintain. This indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. When using time-limited or labor-limited third-party/in-house security consulting services (such as threat modeling, vulnerability discovery, or pentesting), insufficient documentation can force those consultants to invest unnecessary time in learning how the product is organized, instead of focusing their expertise on finding the flaws or suggesting effective mitigations. With respect to hardware design, the lack of a formal, final manufacturer reference can make it difficult or impossible to evaluate the final product, including post-manufacture verification. One cannot ensure that design functionality or operation is within acceptable tolerances, conforms to specifications, and is free from unexpected behavior. Hardware-related documentation may include engineering artifacts such as hardware description language (HDLs), netlists, Gerber files, Bills of Materials, EDA (Electronic Design Automation) tool files, etc.",ChildOf:710,Not Language-Specific,Not Technology-Specific;ICS/OT,,Other,CVE-2022-3203
CWE-106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.","Unchecked input is the leading cause of vulnerabilities in J2EE applications. Unchecked input leads to cross-site scripting, process control, and SQL injection vulnerabilities, among others. Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",ChildOf:1173;ChildOf:20,Java,,,Integrity,
CWE-1060,Excessive Number of Inefficient Server-Side Data Accesses,The product performs too many data queries without using efficient data processing functionality such as stored procedures.,"While the interpretation of ""too many data queries"" may vary for each product or developer, CISQ recommends a default maximum of 5 data queries for an inefficient function/procedure.",ChildOf:1120,Not Language-Specific,,,Other,
CWE-1061,Insufficient Encapsulation,"The product does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",,ChildOf:710,Not Language-Specific,,,Access Control;Other,CVE-2010-3860
CWE-1062,Parent Class with References to Child Class,"The code has a parent class that contains references to a child class, its methods, or its members.",,ChildOf:1061,Not Language-Specific,,,Other,
CWE-1063,Creation of Class Instance within a Static Code Block,A static code block creates an instance of a class.,This pattern identifies situations where a storable data element or member data element is initialized with a value in a block of code which is declared as static.,ChildOf:1176,Not Language-Specific,,,Other,
CWE-1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,"The product contains a function, subroutine, or method whose signature has an unnecessarily large number of parameters/arguments.","While the interpretation of ""large number of parameters"" may vary for each product or developer, CISQ recommends a default maximum of 7 parameters/arguments.",ChildOf:1120,Not Language-Specific,,,Other,
CWE-1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,"The product uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.",,ChildOf:710,Not Language-Specific,,,Other,
CWE-1066,Missing Serialization Control Element,The product contains a serializable data element that does not have an associated serialization method.,,ChildOf:710,Not Language-Specific,,,Other,
CWE-1067,Excessive Execution of Sequential Searches of Data Resource,The product contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.,,ChildOf:1176,Not Language-Specific,,,Availability,
CWE-1068,Inconsistency Between Implementation and Documented Design,The implementation of the product is not consistent with the design as described within the relevant documentation.,,ChildOf:710,,Not Technology-Specific;ICS/OT,,Other,
CWE-1069,Empty Exception Block,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.",,ChildOf:1071,Not Language-Specific,,,Other,
CWE-107,Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date.,,ChildOf:1164;ChildOf:20,Java,,,Other,
CWE-1070,Serializable Data Element Containing non-Serializable Item Elements,"The product contains a serializable, storable data element such as a field or member, but the data element contains member elements that are not serializable.",,ChildOf:1076,Not Language-Specific,,,Other,
CWE-1071,Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.","Empty code blocks can occur in the bodies of conditionals, function or method definitions, exception handlers, etc. While an empty code block might be intentional, it might also indicate incomplete implementation, accidental code deletion, unexpected macro expansion, etc. For some programming languages and constructs, an empty block might be allowed by the syntax, but the lack of any behavior within the block might violate a convention or API in such a way that it is an error.",ChildOf:1164,Not Language-Specific,,,Other,
CWE-1072,Data Resource Access without Use of Connection Pooling,The product accesses a data resource through a database without using a connection pooling capability.,,ChildOf:405,Not Language-Specific,,,Other,
CWE-1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.","While the interpretation of ""large number of data accesses/queries"" may vary for each product or developer, CISQ recommends a default maximum of 2 data accesses per function/method.",ChildOf:405,SQL,Database Server,,Other,
CWE-1074,Class with Excessively Deep Inheritance,"A class has an inheritance level that is too high, i.e., it has a large number of parent classes.","While the interpretation of ""large number of parent classes"" may vary for each product or developer, CISQ recommends a default maximum of 7 parent classes.",ChildOf:1093,Not Language-Specific,,,Other,
CWE-1075,Unconditional Control Flow Transfer outside of Switch Block,"The product performs unconditional control transfer (such as a ""goto"") in code outside of a branching structure such as a switch block.",,ChildOf:1120,Not Language-Specific,,,Other,
CWE-1076,Insufficient Adherence to Expected Conventions,"The product's architecture, source code, design, documentation, or other artifact does not follow required conventions.",,ChildOf:710,Not Language-Specific,,,Other,
CWE-1077,Floating Point Comparison with Incorrect Operator,"The code performs a comparison such as an equality test between two float (floating point) values, but it uses comparison operators that do not account for the possibility of loss of precision.","Numeric calculation using floating point values can generate imprecise results because of rounding errors. As a result, two different calculations might generate numbers that are mathematically equal, but have slightly different bit representations that do not translate to the same mathematically-equal values. As a result, an equality test or other comparison might produce unexpected results.",ChildOf:697,Not Language-Specific,,,Other,
CWE-1078,Inappropriate Source Code Style or Formatting,"The source code does not follow desired style or formatting for indentation, white space, comments, etc.",,ChildOf:1076,Not Language-Specific,,,Other,
CWE-1079,Parent Class without Virtual Destructor Method,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.",,ChildOf:1076,Not Language-Specific,,,Other,
CWE-108,Struts: Unvalidated Action Form,Every Action Form must have a corresponding validation form.,"If a Struts Action Form Mapping specifies a form, it must have a validation form defined under the Struts Validator.",ChildOf:1173;ChildOf:20,Java,,,Other;Confidentiality;Integrity;Availability,
CWE-1080,Source Code File with Excessive Number of Lines of Code,A source code file has too many lines of code.,"While the interpretation of ""too many lines of code"" may vary for each product or developer, CISQ recommends a default threshold value of 1000.",ChildOf:1120,Not Language-Specific,,,Other,
CWE-1082,Class Instance Self Destruction Control Element,The code contains a class instance that calls the method or function to delete or destroy itself.,"For example, in C++, ""delete this"" will cause the object to delete itself.",ChildOf:1076,Not Language-Specific,,,Other,
CWE-1083,Data Access from Outside Expected Data Manager Component,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.","When the product has a data access component, the design may be intended to handle all data access operations through that component. If a data access operation is performed outside of that component, then this may indicate a violation of the intended design.",ChildOf:1061,Not Language-Specific,,,Other,
CWE-1084,Invokable Control Element with Excessive File or Data Access Operations,A function or method contains too many operations that utilize a data manager or file resource.,"While the interpretation of ""too many operations"" may vary for each product or developer, CISQ recommends a default maximum of 7 operations for the same data manager or file.",ChildOf:405,Not Language-Specific,,,Other,
CWE-1085,Invokable Control Element with Excessive Volume of Commented-out Code,"A function, method, procedure, etc. contains an excessive amount of code that has been commented out within its body.","While the interpretation of ""excessive volume"" may vary for each product or developer, CISQ recommends a default threshold of 2% of commented code.",ChildOf:1078,Not Language-Specific,,,Other,
CWE-1086,Class with Excessive Number of Child Classes,A class contains an unnecessarily large number of children.,"While the interpretation of ""large number of children"" may vary for each product or developer, CISQ recommends a default maximum of 10 child classes.",ChildOf:1093,Object-Oriented,,,Other,
CWE-1087,Class with Virtual Method without a Virtual Destructor,"A class contains a virtual method, but the method does not have an associated virtual destructor.",,ChildOf:1076,Object-Oriented,,,Other,
CWE-1088,Synchronous Access of Remote Resource without Timeout,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.",,ChildOf:821,Not Language-Specific,,,Other,
CWE-1089,Large Data Table with Excessive Number of Indices,The product uses a large data table that contains an excessively large number of indices.,"While the interpretation of ""large data table"" and ""excessively large number of indices"" may vary for each product or developer, CISQ recommends a default threshold of 1000000 rows for a ""large"" table and a default threshold of 3 indices.",ChildOf:405,Not Language-Specific,,,Other,
CWE-109,Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",,ChildOf:1173;ChildOf:20,Java,,,Access Control,
CWE-1090,Method Containing Access of a Member Element from Another Class,A method for a class performs an operation that directly accesses a member element from another class.,,ChildOf:1061,Object-Oriented,,,Other,
CWE-1091,Use of Object without Invoking Destructor Method,The product contains a method that accesses an object but does not later invoke the element's associated finalize/destructor method.,,ChildOf:772;ChildOf:1076,Object-Oriented,,,Other,
CWE-1092,Use of Same Invokable Control Element in Multiple Architectural Layers,The product uses the same control element across multiple architectural layers.,,ChildOf:710,Not Language-Specific,,,Other,
CWE-1093,Excessively Complex Data Representation,The product uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures.,,ChildOf:710,Not Language-Specific,,,Other,
CWE-1094,Excessive Index Range Scan for a Data Resource,"The product contains an index range scan for a large data table, but the scan can cover a large number of rows.","While the interpretation of ""large data table"" and ""excessive index range"" may vary for each product or developer, CISQ recommends a threshold of 1000000 table rows and a threshold of 10 for the index range.",ChildOf:405,Not Language-Specific,,,Other,
CWE-1095,Loop Condition Value Update within the Loop,The product uses a loop with a control flow condition based on a value that is updated within the body of the loop.,,ChildOf:1120,Not Language-Specific,,,Other,
CWE-1096,Singleton Class Instance Creation without Proper Locking or Synchronization,The product implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once.,,ChildOf:820;ChildOf:662;ChildOf:662,Not Language-Specific,,,Other,
CWE-1097,Persistent Storable Data Element without Associated Comparison Control Element,The product uses a storable data element that does not have all of the associated functions or methods that are necessary to support comparison.,,ChildOf:1076;ChildOf:595,Not Language-Specific,,,Other,
CWE-1098,Data Element containing Pointer Item without Proper Copy Control Element,The code contains a data element with a pointer that does not have an associated copy or constructor method.,,ChildOf:1076,Not Language-Specific,,,Other,
CWE-1099,Inconsistent Naming Conventions for Identifiers,"The product's code, documentation, or other artifacts do not consistently use the same naming conventions for variables, callables, groups of related callables, I/O capabilities, data types, file names, or similar types of elements.",,ChildOf:1078,Not Language-Specific,,,Other,
CWE-11,ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack.,ASP .NET applications can be configured to produce debug binaries. These binaries give detailed debugging messages and should not be used in production environments. Debug binaries are meant to be used in a development or testing environment and can pose a security risk if they are deployed to production.,ChildOf:489,ASP.NET,,,Confidentiality,
CWE-110,Struts: Validator Without Form Field,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,"It is easy for developers to forget to update validation logic when they make changes to an ActionForm class. One indication that validation logic is not being properly maintained is inconsistencies between the action form and the validation form. Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",ChildOf:1164;ChildOf:20,Java,,,Other,
CWE-1100,Insufficient Isolation of System-Dependent Functions,The product or code does not isolate system-dependent functionality into separate standalone modules.,,ChildOf:1061,Not Language-Specific,,,Other,
CWE-1101,Reliance on Runtime Component in Generated Code,The product uses automatically-generated code that cannot be executed without a specific runtime support component.,,ChildOf:710,Not Language-Specific,,,Other,
CWE-1102,Reliance on Machine-Dependent Data Representation,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components.",,ChildOf:758;PeerOf:1105,Not Language-Specific,,,Other,
CWE-1103,Use of Platform-Dependent Third Party Components,The product relies on third-party components that do not provide equivalent functionality across all desirable platforms.,,ChildOf:758,Not Language-Specific,,,Other,
CWE-1104,Use of Unmaintained Third Party Components,The product relies on third-party components that are not actively supported or maintained by the original developer or a trusted proxy for the original developer.,,ChildOf:1357,Not Language-Specific,Not Technology-Specific;ICS/OT,,Other,
CWE-1105,Insufficient Encapsulation of Machine-Dependent Functionality,"The product or code uses machine-dependent functionality, but it does not sufficiently encapsulate or isolate this functionality from the rest of the code.",,ChildOf:758;ChildOf:1061,Not Language-Specific,,,Other,
CWE-1106,Insufficient Use of Symbolic Constants,"The source code uses literal constants that may need to change or evolve over time, instead of using symbolic constants.",,ChildOf:1078,Not Language-Specific,,,Other,
CWE-1107,Insufficient Isolation of Symbolic Constant Definitions,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",,ChildOf:1078,Not Language-Specific,,,Other,
CWE-1108,Excessive Reliance on Global Variables,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",,ChildOf:1076,Not Language-Specific,,,Other,
CWE-1109,Use of Same Variable for Multiple Purposes,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",,ChildOf:1078,Not Language-Specific,,,Other,CVE-2023-26463
CWE-111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.","Many safety features that programmers may take for granted do not apply for native code, so you must carefully review all such code for potential problems. The languages used to implement native code may be more susceptible to buffer overflows and other attacks. Native code is unprotected by the security features enforced by the runtime environment, such as strong typing and array bounds checking.",ChildOf:695;ChildOf:20,Java,,,Access Control,
CWE-1110,Incomplete Design Documentation,"The product's design documentation does not adequately describe control flow, data flow, system initialization, relationships between tasks, components, rationales, or other important aspects of the design.",,ChildOf:1059,,Not Technology-Specific;ICS/OT,,Other,
CWE-1111,Incomplete I/O Documentation,"The product's documentation does not adequately define inputs, outputs, or system/software interfaces.",,ChildOf:1059,Not Language-Specific,,,Other,
CWE-1112,Incomplete Documentation of Program Execution,The document does not fully define all mechanisms that are used to control or influence how product-specific programs are executed.,"This includes environmental variables, configuration files, registry keys, command-line switches or options, or system settings.",ChildOf:1059,Not Language-Specific,,,Other,
CWE-1113,Inappropriate Comment Style,The source code uses comment styles or formats that are inconsistent or do not follow expected standards for the product.,,ChildOf:1078,Not Language-Specific,,,Other,
CWE-1114,Inappropriate Whitespace Style,The source code contains whitespace that is inconsistent across the code or does not follow expected standards for the product.,,ChildOf:1078,Not Language-Specific,,,Other,CVE-2014-1266
CWE-1115,Source Code Element without Standard Prologue,The source code contains elements such as source files that do not consistently provide a prologue or header that has been standardized for the project.,"Standard prologues or headers may contain information such as module name, version number, author, date, purpose, function, assumptions, limitations, accuracy considerations, etc.",ChildOf:1078,Not Language-Specific,,,Other,
CWE-1116,Inaccurate Source Code Comments,The source code contains comments that do not accurately describe or explain aspects of the portion of the code with which the comment is associated.,,ChildOf:1078,Not Language-Specific,,,Other,
CWE-1117,Callable with Insufficient Behavioral Summary,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",,ChildOf:1078,Not Language-Specific,,,Other,
CWE-1118,Insufficient Documentation of Error Handling Techniques,"The documentation does not sufficiently describe the techniques that are used for error handling, exception processing, or similar mechanisms.","Documentation may need to cover error handling techniques at multiple layers, such as module, executable, compilable code unit, or callable.",ChildOf:1059,Not Language-Specific,,,Other,
CWE-1119,Excessive Use of Unconditional Branching,"The code uses too many unconditional branches (such as ""goto"").",,ChildOf:1120,Not Language-Specific,,,Other,
CWE-112,Missing XML Validation,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.,"Most successful attacks begin with a violation of the programmer's assumptions. By accepting an XML document without validating it against a DTD or XML schema, the programmer leaves a door open for attackers to provide unexpected, unreasonable, or malicious input.",ChildOf:1286;ChildOf:20,Not Language-Specific,,,Integrity,
CWE-1120,Excessive Code Complexity,"The code is too complex, as calculated using a well-defined, quantitative measure.",,ChildOf:710,Not Language-Specific,,,Other,
CWE-1121,Excessive McCabe Cyclomatic Complexity,The code contains McCabe cyclomatic complexity that exceeds a desirable maximum.,,ChildOf:1120,Not Language-Specific,,,Other,
CWE-1122,Excessive Halstead Complexity,The code is structured in a way that a Halstead complexity measure exceeds a desirable maximum.,"A variety of Halstead complexity measures exist, such as program vocabulary size or volume.",ChildOf:1120,Not Language-Specific,,,Other,
CWE-1123,Excessive Use of Self-Modifying Code,The product uses too much self-modifying code.,,ChildOf:1120,Not Language-Specific,,,Other,
CWE-1124,Excessively Deep Nesting,The code contains a callable or other code grouping in which the nesting / branching is too deep.,,ChildOf:1120,Not Language-Specific,,,Other,
